feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_boolean_schema__AND__has_exclusiveMaximum,has_boolean_schema,has_exclusiveMaximum,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_enum__AND__has_exclusiveMaximum,has_enum,has_exclusiveMaximum,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_items,has_exclusiveMaximum,has_items,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_maxItems,has_exclusiveMaximum,has_maxItems,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_maxLength,has_exclusiveMaximum,has_maxLength,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_minItems,has_exclusiveMaximum,has_minItems,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_minLength,has_exclusiveMaximum,has_minLength,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_minimum,has_exclusiveMaximum,has_minimum,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_pattern,has_exclusiveMaximum,has_pattern,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_properties,has_exclusiveMaximum,has_properties,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_required,has_exclusiveMaximum,has_required,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_exclusiveMaximum__AND__has_type,has_exclusiveMaximum,has_type,3,92,0.0315789,5,115,5,151,1,0.761589,1.31304,0.238411,false
has_default__AND__has_maximum,has_default,has_maximum,4,91,0.0421053,4,116,4,152,1,0.763158,1.31034,0.236842,false
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,3,92,0.0315789,4,116,4,152,1,0.763158,1.31034,0.236842,false
has_default__AND__has_oneOf,has_default,has_oneOf,3,92,0.0315789,4,116,4,152,1,0.763158,1.31034,0.236842,false
has_allOf__AND__has_patternProperties,has_allOf,has_patternProperties,2,93,0.0210526,3,117,3,153,1,0.764706,1.30769,0.235294,false
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,2,93,0.0210526,3,117,3,153,1,0.764706,1.30769,0.235294,false
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,2,93,0.0210526,2,118,2,154,1,0.766234,1.30508,0.233766,false
has_default__AND__has_maxLength,has_default,has_maxLength,1,94,0.0105263,2,118,2,154,1,0.766234,1.30508,0.233766,false
has_default__AND__has_minLength,has_default,has_minLength,1,94,0.0105263,2,118,2,154,1,0.766234,1.30508,0.233766,false
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,1,94,0.0105263,2,118,2,154,1,0.766234,1.30508,0.233766,false
has_default__AND__has_multipleOf,has_default,has_multipleOf,1,94,0.0105263,1,119,1,155,1,0.767742,1.30252,0.232258,false
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,1,94,0.0105263,1,119,1,155,1,0.767742,1.30252,0.232258,false
has_properties__AND__has_required,has_properties,has_required,85,10,0.894737,108,12,137,19,0.788321,0.631579,1.24818,0.156742,false
has_required__AND__has_type,has_required,has_type,85,10,0.894737,108,12,137,19,0.788321,0.631579,1.24818,0.156742,false
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,10,85,0.105263,12,108,13,143,0.923077,0.755245,1.22222,0.167832,false
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,8,87,0.0842105,9,111,10,146,0.9,0.760274,1.18378,0.139726,false
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,11,84,0.115789,15,105,17,139,0.882353,0.755396,1.16807,0.126957,false
has_allOf__AND__has_defs,has_allOf,has_defs,11,84,0.115789,15,105,17,139,0.882353,0.755396,1.16807,0.126957,false
has_allOf__AND__has_items,has_allOf,has_items,11,84,0.115789,15,105,17,139,0.882353,0.755396,1.16807,0.126957,false
has_allOf__AND__has_properties,has_allOf,has_properties,11,84,0.115789,15,105,17,139,0.882353,0.755396,1.16807,0.126957,false
has_allOf__AND__has_ref,has_allOf,has_ref,11,84,0.115789,15,105,17,139,0.882353,0.755396,1.16807,0.126957,false
has_allOf__AND__has_type,has_allOf,has_type,11,84,0.115789,15,105,17,139,0.882353,0.755396,1.16807,0.126957,false
has_allOf__AND__has_enum,has_allOf,has_enum,10,85,0.105263,14,106,16,140,0.875,0.757143,1.15566,0.117857,false
has_maximum__AND__has_not,has_maximum,has_not,6,89,0.0631579,7,113,8,148,0.875,0.763514,1.14602,0.111486,false
has_minimum__AND__has_not,has_minimum,has_not,6,89,0.0631579,7,113,8,148,0.875,0.763514,1.14602,0.111486,false
has_allOf__AND__has_pattern,has_allOf,has_pattern,10,85,0.105263,13,107,15,141,0.866667,0.758865,1.14206,0.107801,false
has_allOf__AND__has_required,has_allOf,has_required,10,85,0.105263,13,107,15,141,0.866667,0.758865,1.14206,0.107801,false
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,9,86,0.0947368,12,108,14,142,0.857143,0.760563,1.12698,0.0965795,false
has_minLength__AND__has_minimum,has_minLength,has_minimum,12,83,0.126316,16,104,19,137,0.842105,0.759124,1.10931,0.0829812,false
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,7,88,0.0736842,9,111,11,145,0.818182,0.765517,1.0688,0.0526646,false
has_default__AND__has_minItems,has_default,has_minItems,8,87,0.0842105,8,112,10,146,0.8,0.767123,1.04286,0.0328767,false
