feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_anyOf__AND__has_type,has_anyOf,has_type,68,1721,0.0380101,0,24,68,1721,0,0.0139454,0,-0.0139454,true
has_items__AND__has_ref,has_items,has_ref,84,1705,0.0469536,0,24,84,1705,0,0.0140762,0,-0.0140762,true
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,87,1702,0.0486305,0,24,87,1702,0,0.0141011,0,-0.0141011,true
has_defs__AND__has_items,has_defs,has_items,90,1699,0.0503074,0,24,90,1699,0,0.014126,0,-0.014126,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,92,1697,0.0514254,0,24,92,1697,0,0.0141426,0,-0.0141426,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,93,1696,0.0519843,0,24,93,1696,0,0.0141509,0,-0.0141509,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,98,1691,0.0547792,0,24,98,1691,0,0.0141928,0,-0.0141928,true
has_minItems__AND__has_required,has_minItems,has_required,98,1691,0.0547792,0,24,98,1691,0,0.0141928,0,-0.0141928,true
has_minItems__AND__has_properties,has_minItems,has_properties,107,1682,0.0598099,0,24,107,1682,0,0.0142687,0,-0.0142687,true
has_items__AND__has_minItems,has_items,has_minItems,109,1680,0.0609279,0,24,109,1680,0,0.0142857,0,-0.0142857,true
has_minItems__AND__has_type,has_minItems,has_type,113,1676,0.0631638,0,24,113,1676,0,0.0143198,0,-0.0143198,true
has_default__AND__has_required,has_default,has_required,121,1668,0.0676356,0,24,121,1668,0,0.0143885,0,-0.0143885,true
has_ref__AND__has_required,has_ref,has_required,133,1656,0.0743432,0,24,133,1656,0,0.0144928,0,-0.0144928,true
has_defs__AND__has_required,has_defs,has_required,143,1646,0.0799329,0,24,143,1646,0,0.0145808,0,-0.0145808,true
has_default__AND__has_properties,has_default,has_properties,182,1607,0.101733,0,24,182,1607,0,0.0149347,0,-0.0149347,true
has_default__AND__has_type,has_default,has_type,184,1605,0.102851,0,24,184,1605,0,0.0149533,0,-0.0149533,true
has_defs__AND__has_ref,has_defs,has_ref,184,1605,0.102851,0,24,184,1605,0,0.0149533,0,-0.0149533,true
has_properties__AND__has_ref,has_properties,has_ref,186,1603,0.103969,0,24,186,1603,0,0.0149719,0,-0.0149719,true
has_ref__AND__has_type,has_ref,has_type,187,1602,0.104528,0,24,187,1602,0,0.0149813,0,-0.0149813,true
has_defs__AND__has_properties,has_defs,has_properties,208,1581,0.116266,0,24,208,1581,0,0.0151803,0,-0.0151803,true
has_defs__AND__has_type,has_defs,has_type,209,1580,0.116825,0,24,209,1580,0,0.0151899,0,-0.0151899,true
has_additionalProperties__AND__has_maxProperties,has_additionalProperties,has_maxProperties,1,1788,0.000558971,0,24,1,1788,0,0.0134228,0,-0.0134228,false
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,1,1788,0.000558971,0,24,1,1788,0,0.0134228,0,-0.0134228,false
has_allOf__AND__has_not,has_allOf,has_not,1,1788,0.000558971,0,24,1,1788,0,0.0134228,0,-0.0134228,false
has_anyOf__AND__has_not,has_anyOf,has_not,1,1788,0.000558971,0,24,1,1788,0,0.0134228,0,-0.0134228,false
has_const__AND__has_default,has_const,has_default,1,1788,0.000558971,0,24,1,1788,0,0.0134228,0,-0.0134228,false
has_const__AND__has_defs,has_const,has_defs,1,1788,0.000558971,0,24,1,1788,0,0.0134228,0,-0.0134228,false
