feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_maximum__AND__has_properties,has_maximum,has_properties,111,1712,0.0608886,40,601,160,2749,0.25,0.218625,1.14351,0.031375,true
has_maximum__AND__has_type,has_maximum,has_type,111,1712,0.0608886,40,601,160,2749,0.25,0.218625,1.14351,0.031375,true
has_allOf__AND__has_minLength,has_allOf,has_minLength,15,1808,0.0082282,7,634,28,2881,0.25,0.220062,1.13604,0.0299375,true
has_allOf__AND__has_not,has_allOf,has_not,12,1811,0.00658256,5,636,20,2889,0.25,0.220145,1.13561,0.0298546,true
has_items__AND__has_maxLength,has_items,has_maxLength,122,1701,0.0669227,30,611,122,2787,0.245902,0.219232,1.12165,0.0266695,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,193,1630,0.105869,53,588,217,2692,0.24424,0.218425,1.11819,0.0258147,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,189,1634,0.103675,51,590,209,2700,0.244019,0.218519,1.1167,0.0255006,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,327,1496,0.179375,104,537,430,2479,0.24186,0.21662,1.11652,0.0252409,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,109,1714,0.0597916,38,603,156,2753,0.24359,0.219034,1.11211,0.024556,true
has_maximum__AND__has_required,has_maximum,has_required,95,1728,0.0521119,35,606,144,2765,0.243056,0.219168,1.10899,0.0238874,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,283,1540,0.155239,119,522,497,2412,0.239437,0.216418,1.10636,0.0230187,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,22,1801,0.012068,9,632,37,2872,0.243243,0.220056,1.10537,0.0231875,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,299,1524,0.164015,125,516,525,2384,0.238095,0.216443,1.10004,0.0216523,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,135,1688,0.0740538,50,591,209,2700,0.239234,0.218889,1.09295,0.0203456,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,197,1626,0.108064,43,598,180,2729,0.238889,0.219128,1.09018,0.019761,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,319,1504,0.174986,97,544,415,2494,0.233735,0.218123,1.07157,0.0156114,true
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,269,1554,0.147559,109,532,469,2440,0.232409,0.218033,1.06594,0.0143766,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,129,1694,0.0707625,46,595,197,2712,0.233503,0.219395,1.0643,0.0141073,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,156,1667,0.0855732,35,606,150,2759,0.233333,0.219645,1.06232,0.0136885,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,285,1538,0.156336,115,526,497,2412,0.231388,0.218076,1.06104,0.013312,true
has_allOf__AND__has_items,has_allOf,has_items,30,1793,0.0164564,13,628,56,2853,0.232143,0.220119,1.05462,0.0120237,true
has_default__AND__has_enum,has_default,has_enum,208,1615,0.114098,67,574,295,2614,0.227119,0.219587,1.0343,0.0075318,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,402,1421,0.220516,133,508,588,2321,0.22619,0.218871,1.03344,0.0073193,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,390,1433,0.213933,127,514,564,2345,0.225177,0.21919,1.02732,0.00598754,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,169,1654,0.0927043,32,609,142,2767,0.225352,0.220094,1.02389,0.00525815,true
has_default__AND__has_items,has_default,has_items,174,1649,0.0954471,67,574,298,2611,0.224832,0.219839,1.02271,0.00499307,true
has_items__AND__has_properties,has_items,has_properties,990,833,0.543061,361,280,1623,1286,0.222428,0.217729,1.02158,0.00469821,true
