feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_defs__AND__has_if_then_else,has_defs,has_if_then_else,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
has_if_then_else__AND__has_properties,has_if_then_else,has_properties,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
has_if_then_else__AND__has_required,has_if_then_else,has_required,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
has_if_then_else__AND__has_type,has_if_then_else,has_type,4,1819,0.00219419,0,985,13,5468,0,0.180139,0,-0.180139,false
has_additionalProperties__AND__has_propertyNames,has_additionalProperties,has_propertyNames,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_enum__AND__has_propertyNames,has_enum,has_propertyNames,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_maxProperties__AND__has_minProperties,has_maxProperties,has_minProperties,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_pattern__AND__has_propertyNames,has_pattern,has_propertyNames,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_properties__AND__has_propertyNames,has_properties,has_propertyNames,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_propertyNames__AND__has_required,has_propertyNames,has_required,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_propertyNames__AND__has_type,has_propertyNames,has_type,3,1820,0.00164564,0,985,13,5468,0,0.180139,0,-0.180139,false
has_default__AND__has_maxItems,has_default,has_maxItems,4,1819,0.00219419,0,985,14,5467,0,0.180172,0,-0.180172,false
has_maxProperties__AND__has_minItems,has_maxProperties,has_minItems,4,1819,0.00219419,0,985,14,5467,0,0.180172,0,-0.180172,false
has_const__AND__has_minimum,has_const,has_minimum,3,1820,0.00164564,0,985,14,5467,0,0.180172,0,-0.180172,false
has_const__AND__has_not,has_const,has_not,3,1820,0.00164564,0,985,15,5466,0,0.180205,0,-0.180205,false
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,12,1811,0.00658256,0,985,16,5465,0,0.180238,0,-0.180238,false
has_minProperties__AND__has_oneOf,has_minProperties,has_oneOf,4,1819,0.00219419,0,985,16,5465,0,0.180238,0,-0.180238,false
has_maxProperties__AND__has_pattern,has_maxProperties,has_pattern,4,1819,0.00219419,0,985,21,5460,0,0.180403,0,-0.180403,false
