feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,1,364,0.00273973,0,59,2,453,0,0.130243,0,-0.130243,false
has_anyOf__AND__has_maxItems,has_anyOf,has_maxItems,1,364,0.00273973,0,59,2,453,0,0.130243,0,-0.130243,false
has_defs__AND__has_minItems,has_defs,has_minItems,1,364,0.00273973,0,59,2,453,0,0.130243,0,-0.130243,false
has_maxItems__AND__has_ref,has_maxItems,has_ref,1,364,0.00273973,0,59,2,453,0,0.130243,0,-0.130243,false
has_minItems__AND__has_ref,has_minItems,has_ref,1,364,0.00273973,0,59,2,453,0,0.130243,0,-0.130243,false
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,3,362,0.00821918,0,59,3,452,0,0.130531,0,-0.130531,false
has_anyOf__AND__has_not,has_anyOf,has_not,3,362,0.00821918,0,59,3,452,0,0.130531,0,-0.130531,false
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,3,362,0.00821918,0,59,3,452,0,0.130531,0,-0.130531,false
has_maximum__AND__has_required,has_maximum,has_required,3,362,0.00821918,0,59,3,452,0,0.130531,0,-0.130531,false
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,2,363,0.00547945,0,59,3,452,0,0.130531,0,-0.130531,false
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,2,363,0.00547945,0,59,3,452,0,0.130531,0,-0.130531,false
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,2,363,0.00547945,0,59,3,452,0,0.130531,0,-0.130531,false
has_defs__AND__has_maxItems,has_defs,has_maxItems,2,363,0.00547945,0,59,3,452,0,0.130531,0,-0.130531,false
has_enum__AND__has_maxLength,has_enum,has_maxLength,2,363,0.00547945,0,59,3,452,0,0.130531,0,-0.130531,false
has_items__AND__has_ref,has_items,has_ref,2,363,0.00547945,0,59,3,452,0,0.130531,0,-0.130531,false
has_maximum__AND__has_properties,has_maximum,has_properties,4,361,0.0109589,0,59,4,451,0,0.13082,0,-0.13082,false
has_default__AND__has_minItems,has_default,has_minItems,2,363,0.00547945,0,59,4,451,0,0.13082,0,-0.13082,false
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,4,361,0.0109589,0,59,5,450,0,0.131111,0,-0.131111,false
has_default__AND__has_pattern,has_default,has_pattern,3,362,0.00821918,0,59,5,450,0,0.131111,0,-0.131111,false
