schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_trivial---o83139.json,Github_trivial,maskbench/data/Github_trivial---o83139.json,Github_trivial---o83139.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,1207,199,26,1210913,697609,624,339584,15,190,5,127,24,85,12,62,11,5,4,,0.2.14,12,19,True,105,105,9e768fa601e3fd7ec91ad6f4b6700d143d42f518be0c960619f2158c0bdddcaa,0.527638191,2,2,9,1,242771,True,5,True,339584,completed,completed,,
Github_trivial---o83140.json,Github_trivial,maskbench/data/Github_trivial---o83140.json,Github_trivial---o83140.json::test_00000,0,valid,outlines,Outlines,passed,True,True,5115,585,221,1231474,679843,683,1375681,17,999,4,261433,118456,142686,5190,5777,87,87,,,0.2.14,22,54,True,636,636,b7e3d527c817c281f620e98a29849fde3df64d5d2a8e48cd00c688b1e3af0a64,1.087179487,9,13,52,4,1266036,True,4,True,1375681,completed,completed,,
Github_trivial---o83140.json,Github_trivial,maskbench/data/Github_trivial---o83140.json,Github_trivial---o83140.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,5115,585,258,1231474,679843,683,1375681,18,394,4,244280,111494,132492,3384,4838,97,87,86,,0.2.14,22,54,True,636,636,b7e3d527c817c281f620e98a29849fde3df64d5d2a8e48cd00c688b1e3af0a64,1.087179487,9,13,52,4,1266036,True,4,True,1375681,completed,completed,,
Github_trivial---o83140.json,Github_trivial,maskbench/data/Github_trivial---o83140.json,Github_trivial---o83140.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,5115,585,214,1231474,679843,683,1375681,18,335,3,1535,1418,94,1405,72,85,8,7,,0.2.14,22,54,True,636,636,b7e3d527c817c281f620e98a29849fde3df64d5d2a8e48cd00c688b1e3af0a64,1.087179487,9,13,52,4,1266036,True,4,True,1375681,completed,completed,,
Github_trivial---o83308.json,Github_trivial,maskbench/data/Github_trivial---o83308.json,Github_trivial---o83308.json::test_00000,0,valid,outlines,Outlines,failed,False,True,790,189,63,1210429,662942,694,127967,40,1318,5,18,7,1,7,1,20,1,0,,0.2.14,15,15,True,11,11,840897e948ca0576511730993efc63ad13367ef596985084959056cf1cd7b01a,0.058201058,0,1,2,1,21969,True,4,True,127967,completed,completed,,
Github_trivial---o83326.json,Github_trivial,maskbench/data/Github_trivial---o83326.json,Github_trivial---o83326.json::test_00000,0,valid,outlines,Outlines,passed,True,True,2442,290,22,1191617,691903,618,278894,14,767,4,31,9,4,7,2,6,6,,,0.2.14,13,26,True,57,57,47d9943251434ec69313c20c39dc392f30e3c8c73b6b9fb1011a6ac88719948b,0.196551724,2,1,4,1,169026,True,4,True,278894,completed,completed,,
Github_trivial---o83326.json,Github_trivial,maskbench/data/Github_trivial---o83326.json,Github_trivial---o83326.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,2442,290,21,1191617,691903,618,278894,14,159,4,30,8,5,5,2,6,5,4,,0.2.14,13,26,True,57,57,47d9943251434ec69313c20c39dc392f30e3c8c73b6b9fb1011a6ac88719948b,0.196551724,2,1,4,1,169026,True,4,True,278894,completed,completed,,
Github_trivial---o83326.json,Github_trivial,maskbench/data/Github_trivial---o83326.json,Github_trivial---o83326.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,2442,290,22,1191617,691903,618,278894,20,211,4,24,5,4,5,3,6,5,4,,0.2.14,13,26,True,57,57,47d9943251434ec69313c20c39dc392f30e3c8c73b6b9fb1011a6ac88719948b,0.196551724,2,1,4,1,169026,True,4,True,278894,completed,completed,,
Github_trivial---o83326.json,Github_trivial,maskbench/data/Github_trivial---o83326.json,Github_trivial---o83326.json::test_00003,3,invalid,outlines,Outlines,passed,False,True,2442,290,19,1191617,691903,618,278894,18,149,4,17,4,2,4,2,5,4,3,,0.2.14,13,26,True,57,57,47d9943251434ec69313c20c39dc392f30e3c8c73b6b9fb1011a6ac88719948b,0.196551724,2,1,4,1,169026,True,4,True,278894,completed,completed,,
Github_trivial---o83688.json,Github_trivial,maskbench/data/Github_trivial---o83688.json,Github_trivial---o83688.json::test_00000,0,valid,outlines,Outlines,passed,True,True,2688,438,11,1227537,672745,913,192164,13,754,4,318,96,198,36,84,6,6,,,0.2.14,18,31,True,108,108,8ea4d2e985acf060dd126b650b23eb0e4a14dc0445752a358b7fe08efd346612,0.246575342,7,9,12,2,81543,True,4,True,192164,completed,completed,,
Github_trivial---o83688.json,Github_trivial,maskbench/data/Github_trivial---o83688.json,Github_trivial---o83688.json::test_00001,1,invalid,outlines,Outlines,failed,True,True,2688,438,11,1227537,672745,913,192164,15,178,4,177,51,110,15,60,6,6,,,0.2.14,18,31,True,108,108,8ea4d2e985acf060dd126b650b23eb0e4a14dc0445752a358b7fe08efd346612,0.246575342,7,9,12,2,81543,True,4,True,192164,completed,completed,,
Github_trivial---o83688.json,Github_trivial,maskbench/data/Github_trivial---o83688.json,Github_trivial---o83688.json::test_00002,2,invalid,outlines,Outlines,failed,True,True,2688,438,11,1227537,672745,913,192164,19,156,3,176,53,108,16,62,6,6,,,0.2.14,18,31,True,108,108,8ea4d2e985acf060dd126b650b23eb0e4a14dc0445752a358b7fe08efd346612,0.246575342,7,9,12,2,81543,True,4,True,192164,completed,completed,,
Github_trivial---o83689.json,Github_trivial,maskbench/data/Github_trivial---o83689.json,Github_trivial---o83689.json::test_00000,0,valid,outlines,Outlines,passed,True,True,7204,980,60,1237586,664139,695,1003363,14,898,4,64,10,8,8,3,24,24,,,0.2.14,91,139,True,412,412,3951f3867b03696a666fe09c9a9941c87c6cc17b61dc99b6916e444f6aebe311,0.420408163,8,14,43,4,862654,True,4,True,1003363,completed,completed,,
