feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_allOf__AND__has_minLength,has_allOf,has_minLength,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_anyOf__AND__has_maxItems,has_anyOf,has_maxItems,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_defs__AND__has_maxLength,has_defs,has_maxLength,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_defs__AND__has_minItems,has_defs,has_minItems,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_defs__AND__has_minLength,has_defs,has_minLength,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_enum__AND__has_maxItems,has_enum,has_maxItems,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_maxItems__AND__has_ref,has_maxItems,has_ref,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_minItems__AND__has_ref,has_minItems,has_ref,1,364,0.00273973,0,47,0,754,0,0.0623342,0,-0.0623342,false
has_maxItems__AND__has_properties,has_maxItems,has_properties,4,361,0.0109589,0,47,1,753,0,0.062417,0,-0.062417,false
has_enum__AND__has_maxLength,has_enum,has_maxLength,2,363,0.00547945,0,47,1,753,0,0.062417,0,-0.062417,false
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,1,364,0.00273973,0,47,1,753,0,0.062417,0,-0.062417,false
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,1,364,0.00273973,0,47,2,752,0,0.0625,0,-0.0625,false
has_not__AND__has_pattern,has_not,has_pattern,1,364,0.00273973,0,47,2,752,0,0.0625,0,-0.0625,false
has_defs__AND__has_items,has_defs,has_items,13,352,0.0356164,0,47,3,751,0,0.0625832,0,-0.0625832,false
